PLATE_ID,WellID,X_POSITION,Y_POSITION,T_INDEX,Z_INDEX,SOURCE_DESCRIPTION,PATH,ImgID
19,22931,F04,2.0,2.0,1,1,Transmitted Light 50,/media/Hcs-screen10-vi/MDStorage_17/SAMSARA-STORAGE_5/Tox Deep learning/U2OS WT 24h 10X/2023-09-29/22931/U2OS WT 24h 10X_F04_s4_w1ED23F651-48B6-4E7E-BD2E-D6080E437E4E.tif,22931_F04_2_2
20,22931,E04,1.0,1.0,1,1,Transmitted Light 50,/media/Hcs-screen10-vi/MDStorage_17/SAMSARA-STORAGE_5/Tox Deep learning/U2OS WT 24h 10X/2023-09-29/22931/U2OS WT 24h 10X_E04_s1_w1E30355EF-DBB5-4151-912D-C6BACF3C1091.tif,22931_E04_1_1
21,22931,E04,2.0,1.0,1,1,Transmitted Light 50,/media/Hcs-screen10-vi/MDStorage_17/SAMSARA-STORAGE_5/Tox Deep learning/U2OS WT 24h 10X/2023-09-29/22931/U2OS WT 24h 10X_E04_s2_w144B02198-2E48-4760-BFA5-FADFCEA550F8.tif,22931_E04_2_1
22,22931,E04,1.0,2.0,1,1,Transmitted Light 50,/media/Hcs-screen10-vi/MDStorage_17/SAMSARA-STORAGE_5/Tox Deep learning/U2OS WT 24h 10X/2023-09-29/22931/U2OS WT 24h 10X_E04_s3_w1EA80FCEF-A0FF-4CC3-A54F-562E10549E05.tif,22931_E04_1_2
23,22931,E04,2.0,2.0,1,1,Transmitted Light 50,/media/Hcs-screen10-vi/MDStorage_17/SAMSARA-STORAGE_5/Tox Deep learning/U2OS WT 24h 10X/2023-09-29/22931/U2OS WT 24h 10X_E04_s4_w183000A40-6C79-47AA-A3A4-0E851B4772AE.tif,22931_E04_2_2
24,22931,D04,1.0,1.0,1,1,Transmitted Light 50,/media/Hcs-screen10-vi/MDStorage_17/SAMSARA-STORAGE_5/Tox Deep learning/U2OS WT 24h 10X/2023-09-29/22931/U2OS WT 24h 10X_D04_s1_w136C62D3A-FAD9-4406-B30A-6EA528DD0291.tif,22931_D04_1_1
25,22931,D04,2.0,1.0,1,1,Transmitted Light 50,/media/Hcs-screen10-vi/MDStorage_17/SAMSARA-STORAGE_5/Tox Deep learning/U2OS WT 24h 10X/2023-09-29/22931/U2OS WT 24h 10X_D04_s2_w1960D4316-E7B0-499B-A99B-D19F412651B9.tif,22931_D04_2_1
26,22931,D04,1.0,2.0,1,1,Transmitted Light 50,/media/Hcs-screen10-vi/MDStorage_17/SAMSARA-STORAGE_5/Tox Deep learning/U2OS WT 24h 10X/2023-09-29/22931/U2OS WT 24h 10X_D04_s3_w180D6CAA8-079F-4CFE-AF28-5F2266309699.tif,22931_D04_1_2
27,22931,D04,2.0,2.0,1,1,Transmitted Light 50,/media/Hcs-screen10-vi/MDStorage_17/SAMSARA-STORAGE_5/Tox Deep learning/U2OS WT 24h 10X/2023-09-29/22931/U2OS WT 24h 10X_D04_s4_w146F8AA5F-33DB-4B64-9F6D-B93336CD416F.tif,22931_D04_2_2
28,22931,C04,1.0,1.0,1,1,Transmitted Light 50,/media/Hcs-screen10-vi/MDStorage_17/SAMSARA-STORAGE_5/Tox Deep learning/U2OS WT 24h 10X/2023-09-29/22931/U2OS WT 24h 10X_C04_s1_w1DE5C6017-7288-4E2F-B6D5-5A6BAA13F991.tif,22931_C04_1_1
29,22931,C04,2.0,1.0,1,1,Transmitted Light 50,/media/Hcs-screen10-vi/MDStorage_17/SAMSARA-STORAGE_5/Tox Deep learning/U2OS WT 24h 10X/2023-09-29/22931/U2OS WT 24h 10X_C04_s2_w173EACF53-EBC7-45C6-B0DD-0CDB30FFFA4C.tif,22931_C04_2_1
30,22931,C04,1.0,2.0,1,1,Transmitted Light 50,/media/Hcs-screen10-vi/MDStorage_17/SAMSARA-STORAGE_5/Tox Deep learning/U2OS WT 24h 10X/2023-09-29/22931/U2OS WT 24h 10X_C04_s3_w1B2B51C18-DBF6-4FE7-800B-3485B246A654.tif,22931_C04_1_2
31,22931,C04,2.0,2.0,1,1,Transmitted Light 50,/media/Hcs-screen10-vi/MDStorage_17/SAMSARA-STORAGE_5/Tox Deep learning/U2OS WT 24h 10X/2023-09-29/22931/U2OS WT 24h 10X_C04_s4_w11D4952BB-0DB4-4E71-9F6C-096FBCB49963.tif,22931_C04_2_2
32,22931,C05,1.0,1.0,1,1,Transmitted Light 50,/media/Hcs-screen10-vi/MDStorage_17/SAMSARA-STORAGE_5/Tox Deep learning/U2OS WT 24h 10X/2023-09-29/22931/U2OS WT 24h 10X_C05_s1_w12250C15D-F5AD-4A27-9FD3-FE8622C6D6EB.tif,22931_C05_1_1
33,22931,C05,2.0,1.0,1,1,Transmitted Light 50,/media/Hcs-screen10-vi/MDStorage_17/SAMSARA-STORAGE_5/Tox Deep learning/U2OS WT 24h 10X/2023-09-29/22931/U2OS WT 24h 10X_C05_s2_w149B49B96-923F-40D7-969E-920E0B7B4628.tif,22931_C05_2_1
34,22931,C05,1.0,2.0,1,1,Transmitted Light 50,/media/Hcs-screen10-vi/MDStorage_17/SAMSARA-STORAGE_5/Tox Deep learning/U2OS WT 24h 10X/2023-09-29/22931/U2OS WT 24h 10X_C05_s3_w1C5045F1C-73B0-49BB-9177-642A183819A6.tif,22931_C05_1_2
35,22931,C05,2.0,2.0,1,1,Transmitted Light 50,/media/Hcs-screen10-vi/MDStorage_17/SAMSARA-STORAGE_5/Tox Deep learning/U2OS WT 24h 10X/2023-09-29/22931/U2OS WT 24h 10X_C05_s4_w1D568612B-521F-4C69-A9D1-02F0EE9DC277.tif,22931_C05_2_2
36,22931,D05,1.0,1.0,1,1,Transmitted Light 50,/media/Hcs-screen10-vi/MDStorage_17/SAMSARA-STORAGE_5/Tox Deep learning/U2OS WT 24h 10X/2023-09-29/22931/U2OS WT 24h 10X_D05_s1_w1FFB8F037-8458-4A02-BA87-98C56983AC74.tif,22931_D05_1_1
37,22931,D05,2.0,1.0,1,1,Transmitted Light 50,/media/Hcs-screen10-vi/MDStorage_17/SAMSARA-STORAGE_5/Tox Deep learning/U2OS WT 24h 10X/2023-09-29/22931/U2OS WT 24h 10X_D05_s2_w1EF7C3085-E25E-4159-898D-61F547A2457F.tif,22931_D05_2_1
38,22931,D05,1.0,2.0,1,1,Transmitted Light 50,/media/Hcs-screen10-vi/MDStorage_17/SAMSARA-STORAGE_5/Tox Deep learning/U2OS WT 24h 10X/2023-09-29/22931/U2OS WT 24h 10X_D05_s3_w14BBDF3EC-6BEB-4C38-9898-7AA4D0B6B034.tif,22931_D05_1_2
39,22931,D05,2.0,2.0,1,1,Transmitted Light 50,/media/Hcs-screen10-vi/MDStorage_17/SAMSARA-STORAGE_5/Tox Deep learning/U2OS WT 24h 10X/2023-09-29/22931/U2OS WT 24h 10X_D05_s4_w135418BDD-9F3A-4007-B997-21607BA08F45.tif,22931_D05_2_2
40,22931,E05,1.0,1.0,1,1,Transmitted Light 50,/media/Hcs-screen10-vi/MDStorage_17/SAMSARA-STORAGE_5/Tox Deep learning/U2OS WT 24h 10X/2023-09-29/22931/U2OS WT 24h 10X_E05_s1_w1150D4816-6AFC-491C-8E2E-4C22BD380BB2.tif,22931_E05_1_1
41,22931,E05,2.0,1.0,1,1,Transmitted Light 50,/media/Hcs-screen10-vi/MDStorage_17/SAMSARA-STORAGE_5/Tox Deep learning/U2OS WT 24h 10X/2023-09-29/22931/U2OS WT 24h 10X_E05_s2_w12496356A-9727-422C-82B8-2405563D99AD.tif,22931_E05_2_1
42,22931,E05,1.0,2.0,1,1,Transmitted Light 50,/media/Hcs-screen10-vi/MDStorage_17/SAMSARA-STORAGE_5/Tox Deep learning/U2OS WT 24h 10X/2023-09-29/22931/U2OS WT 24h 10X_E05_s3_w1A684C284-ED82-4DC3-AD6D-3BC1E60B3106.tif,22931_E05_1_2
43,22931,E05,2.0,2.0,1,1,Transmitted Light 50,/media/Hcs-screen10-vi/MDStorage_17/SAMSARA-STORAGE_5/Tox Deep learning/U2OS WT 24h 10X/2023-09-29/22931/U2OS WT 24h 10X_E05_s4_w1A21CECC0-5E52-47A9-B317-D5B73E26F470.tif,22931_E05_2_2
44,22931,F05,1.0,1.0,1,1,Transmitted Light 50,/media/Hcs-screen10-vi/MDStorage_17/SAMSARA-STORAGE_5/Tox Deep learning/U2OS WT 24h 10X/2023-09-29/22931/U2OS WT 24h 10X_F05_s1_w1040F8B50-6D38-4BF0-9157-AE319FD6573B.tif,22931_F05_1_1
45,22931,F05,2.0,1.0,1,1,Transmitted Light 50,/media/Hcs-screen10-vi/MDStorage_17/SAMSARA-STORAGE_5/Tox Deep learning/U2OS WT 24h 10X/2023-09-29/22931/U2OS WT 24h 10X_F05_s2_w1DB3AE5E1-89C1-459D-877C-6C93840ED692.tif,22931_F05_2_1
